code,value
41552,0.278
41553,0.265
41554,0.209
41555,0.174
42111,0.661
42112,0.628
42113,0.615
42114,0.559
42115,0.524
42121,0.619
42122,0.586
42123,0.573
42124,0.517
42125,0.482
42131,0.608
42132,0.575
42133,0.562
42134,0.506
42135,0.471
42141,0.495
42142,0.462
42143,0.449
42144,0.393
42145,0.358
42151,0.454
42152,0.421
42153,0.408
42154,0.352
42155,0.317
42211,0.64
42212,0.607
42213,0.594
42214,0.538
42215,0.503
42221,0.598
42222,0.565
42223,0.552
42224,0.496
42225,0.461
42231,0.587
42232,0.554
42233,0.541
42234,0.485
42235,0.45
42241,0.474
42242,0.441
42243,0.428
42244,0.372
42245,0.337
42251,0.433
42252,0.4
42253,0.387
42254,0.331
42255,0.296
42311,0.61
42312,0.577
42313,0.564
42314,0.508
42315,0.473
42321,0.568
42322,0.535
42323,0.522
42324,0.466
42325,0.431
42331,0.557
42332,0.524
42333,0.511
42334,0.455
42335,0.42
42341,0.444
42342,0.411
42343,0.398
42344,0.342
42345,0.307
42351,0.403
42352,0.37
42353,0.357
42354,0.301
42355,0.266
42411,0.561
42412,0.528
42413,0.515
42414,0.459
42415,0.424
42421,0.519
42422,0.486
42423,0.473
42424,0.417
42425,0.382
42431,0.508
42432,0.475
42433,0.462
42434,0.406
42435,0.371
42441,0.395
42442,0.362
42443,0.349
42444,0.293
42445,0.258
42451,0.354
42452,0.321
42453,0.308
42454,0.252
42455,0.217
42511,0.486
42512,0.453
42513,0.44
42514,0.384
42515,0.349
42521,0.444
42522,0.411
42523,0.398
42524,0.342
42525,0.307
42531,0.433
42532,0.4
42533,0.387
42534,0.331
42535,0.296
42541,0.32
42542,0.287
42543,0.274
42544,0.218
42545,0.183
42551,0.279
42552,0.246
42553,0.233
42554,0.177
42555,0.142
43111,0.643
43112,0.61
43113,0.597
43114,0.541
43115,0.506
43121,0.601
43122,0.568
43123,0.555
43124,0.499
43125,0.464
43131,0.59
43132,0.557
43133,0.544
43134,0.488
43135,0.453
43141,0.477
43142,0.444
43143,0.431
43144,0.375
43145,0.34
43151,0.436
43152,0.403
43153,0.39
43154,0.334
43155,0.299
43211,0.622
43212,0.589
43213,0.576
43214,0.52
43215,0.485
43221,0.58
43222,0.547
43223,0.534
43224,0.478
43225,0.443
43231,0.569
43232,0.536
43233,0.523
43234,0.467
43235,0.432
43241,0.456
43242,0.423
43243,0.41
43244,0.354
43245,0.319
43251,0.415
43252,0.382
43253,0.369
43254,0.313
43255,0.278
43311,0.592
43312,0.559
43313,0.546
43314,0.49
43315,0.455
43321,0.55
43322,0.517
43323,0.504
43324,0.448
43325,0.413
43331,0.539
43332,0.506
43333,0.493
43334,0.437
43335,0.402
43341,0.426
43342,0.393
43343,0.38
43344,0.324
43345,0.289
43351,0.385
43352,0.352
43353,0.339
43354,0.283
43355,0.248
43411,0.543
43412,0.51
43413,0.497
43414,0.441
43415,0.406
43421,0.501
43422,0.468
43423,0.455
43424,0.399
43425,0.364
43431,0.49
43432,0.457
43433,0.444
43434,0.388
43435,0.353
43441,0.377
43442,0.344
43443,0.331
43444,0.275
43445,0.24
43451,0.336
43452,0.303
43453,0.29
43454,0.234
43455,0.199
43511,0.468
43512,0.435
43513,0.422
43514,0.366
43515,0.331
43521,0.426
43522,0.393
43523,0.38
43524,0.324
43525,0.289
43531,0.415
43532,0.382
43533,0.369
43534,0.313
43535,0.278
43541,0.302
43542,0.269
43543,0.256
43544,0.2
43545,0.165
43551,0.261
43552,0.228
43553,0.215
43554,0.159
43555,0.124
44111,0.615
44112,0.582
44113,0.569
44114,0.513
44115,0.478
44121,0.573
44122,0.54
44123,0.527
44124,0.471
44125,0.436
44131,0.562
44132,0.529
44133,0.516
44134,0.46
44135,0.425
44141,0.449
44142,0.416
44143,0.403
44144,0.347
44145,0.312
44151,0.408
44152,0.375
44153,0.362
44154,0.306
44155,0.271
44211,0.594
44212,0.561
44213,0.548
44214,0.492
44215,0.457
44221,0.552
44222,0.519
44223,0.506
44224,0.45
44225,0.415
44231,0.541
44232,0.508
44233,0.495
44234,0.439
44235,0.404
44241,0.428
44242,0.395
44243,0.382
44244,0.326
44245,0.291
44251,0.387
44252,0.354
44253,0.341
44254,0.285
44255,0.25
44311,0.564
44312,0.531
44313,0.518
44314,0.462
44315,0.427
44321,0.522
44322,0.489
44323,0.476
44324,0.42
44325,0.385
44331,0.511
44332,0.478
44333,0.465
44334,0.409
44335,0.374
44341,0.398
44342,0.365
44343,0.352
44344,0.296
44345,0.261
44351,0.357
44352,0.324
44353,0.311
44354,0.255
44355,0.22
44411,0.515
44412,0.482
44413,0.469
44414,0.413
44415,0.378
44421,0.473
44422,0.44
44423,0.427
44424,0.371
44425,0.336
44431,0.462
44432,0.429
44433,0.416
44434,0.36
44435,0.325
44441,0.349
44442,0.316
44443,0.303
44444,0.247
44445,0.212
44451,0.308
44452,0.275
44453,0.262
44454,0.206
44455,0.171
44511,0.44
44512,0.407
44513,0.394
44514,0.338
44515,0.303
44521,0.398
44522,0.365
44523,0.352
44524,0.296
44525,0.261
44531,0.387
44532,0.354
44533,0.341
44534,0.285
44535,0.25
44541,0.274
44542,0.241
44543,0.228
44544,0.172
44545,0.137
44551,0.233
44552,0.2
44553,0.187
44554,0.131
44555,0.096
45111,0.571
45112,0.538
45113,0.525
45114,0.469
45115,0.434
45121,0.529
45122,0.496
45123,0.483
45124,0.427
45125,0.392
45131,0.518
45132,0.485
45133,0.472
45134,0.416
45135,0.381
45141,0.405
45142,0.372
45143,0.359
45144,0.303
45145,0.268
45151,0.364
45152,0.331
45153,0.318
45154,0.262
45155,0.227
45211,0.55
45212,0.517
45213,0.504
45214,0.448
45215,0.413
45221,0.508
45222,0.475
45223,0.462
45224,0.406
45225,0.371
45231,0.497
45232,0.464
45233,0.451
45234,0.395
45235,0.36
45241,0.384
45242,0.351
45243,0.338
45244,0.282
45245,0.247
45251,0.343
45252,0.31
45253,0.297
45254,0.241
45255,0.206
45311,0.52
45312,0.487
45313,0.474
45314,0.418
45315,0.383
45321,0.478
45322,0.445
45323,0.432
45324,0.376
45325,0.341
45331,0.467
45332,0.434
45333,0.421
45334,0.365
45335,0.33
45341,0.354
45342,0.321
45343,0.308
45344,0.252
45345,0.217
45351,0.313
45352,0.28
45353,0.267
45354,0.211
45355,0.176
45411,0.471
45412,0.438
45413,0.425
45414,0.369
45415,0.334
45421,0.429
45422,0.396
45423,0.383
45424,0.327
45425,0.292
45431,0.418
45432,0.385
45433,0.372
45434,0.316
45435,0.281
45441,0.305
45442,0.272
45443,0.259
45444,0.203
45445,0.168
45451,0.264
45452,0.231
45453,0.218
45454,0.162
45455,0.127
45511,0.396
45512,0.363
45513,0.35
45514,0.294
45515,0.259
45521,0.354
45522,0.321
45523,0.308
45524,0.252
45525,0.217
45531,0.343
45532,0.31
45533,0.297
45534,0.241
45535,0.206
45541,0.23
45542,0.197
45543,0.184
45544,0.128
45545,0.093
45551,0.189
45552,0.156
45553,0.143
45554,0.087
45555,0.052
51111,0.575
51112,0.542
51113,0.529
51114,0.473
51115,0.438
51121,0.533
51122,0.5
51123,0.487
51124,0.431
51125,0.396
51131,0.522
51132,0.489
51133,0.476
51134,0.42
51135,0.385
51141,0.409
51142,0.376
51143,0.363
51144,0.307
51145,0.272
51151,0.368
51152,0.335
51153,0.322
51154,0.266
51155,0.231
51211,0.554
51212,0.521
51213,0.508
51214,0.452
51215,0.417
51221,0.512
51222,0.479
51223,0.466
51224,0.41
51225,0.375
51231,0.501
51232,0.468
51233,0.455
51234,0.399
51235,0.364
51241,0.388
51242,0.355
51243,0.342
51244,0.286
51245,0.251
51251,0.347
51252,0.314
51253,0.301
51254,0.245
51255,0.21
51311,0.524
51312,0.491
51313,0.478
51314,0.422
51315,0.387
51321,0.482
51322,0.449
51323,0.436
51324,0.38
51325,0.345
51331,0.471
51332,0.438
51333,0.425
51334,0.369
51335,0.334
51341,0.358
51342,0.325
51343,0.312
51344,0.256
51345,0.221
51351,0.317
51352,0.284
51353,0.271
51354,0.215
51355,0.18
51411,0.475
51412,0.442
51413,0.429
51414,0.373
51415,0.338
51421,0.433
51422,0.4
51423,0.387
51424,0.331
51425,0.296
51431,0.422
51432,0.389
51433,0.376
51434,0.32
51435,0.285
51441,0.309
51442,0.276
51443,0.263
51444,0.207
51445,0.172
51451,0.268
51452,0.235
51453,0.222
51454,0.166
51455,0.131
51511,0.4
51512,0.367
51513,0.354
51514,0.298
51515,0.263
51521,0.358
51522,0.325
51523,0.312
51524,0.256
51525,0.221
51531,0.347
51532,0.314
51533,0.301
51534,0.245
51535,0.21
51541,0.234
51542,0.201
51543,0.188
51544,0.132
51545,0.097
51551,0.193
51552,0.16
51553,0.147
51554,0.091
51555,0.056
52111,0.543
52112,0.51
52113,0.497
52114,0.441
52115,0.406
52121,0.501
52122,0.468
52123,0.455
52124,0.399
52125,0.364
52131,0.49
52132,0.457
52133,0.444
52134,0.388
52135,0.353
52141,0.377
52142,0.344
52143,0.331
52144,0.275
52145,0.24
52151,0.336
52152,0.303
52153,0.29
52154,0.234
52155,0.199
52211,0.522
52212,0.489
52213,0.476
52214,0.42
52215,0.385
52221,0.48
52222,0.447
52223,0.434
52224,0.378
52225,0.343
52231,0.469
52232,0.436
52233,0.423
52234,0.367
52235,0.332
52241,0.356
52242,0.323
52243,0.31
52244,0.254
52245,0.219
52251,0.315
52252,0.282
52253,0.269
52254,0.213
52255,0.178
52311,0.492
52312,0.459
52313,0.446
52314,0.39
52315,0.355
52321,0.45
52322,0.417
52323,0.404
52324,0.348
52325,0.313
52331,0.439
52332,0.406
52333,0.393
52334,0.337
52335,0.302
52341,0.326
52342,0.293
52343,0.28
52344,0.224
52345,0.189
52351,0.285
52352,0.252
52353,0.239
52354,0.183
52355,0.148
52411,0.443
52412,0.41
52413,0.397
52414,0.341
52415,0.306
52421,0.401
52422,0.368
52423,0.355
52424,0.299
52425,0.264
52431,0.39
52432,0.357
52433,0.344
52434,0.288
52435,0.253
52441,0.277
52442,0.244
52443,0.231
52444,0.175
52445,0.14
52451,0.236
52452,0.203
52453,0.19
52454,0.134
52455,0.099
52511,0.368
52512,0.335
52513,0.322
52514,0.266
52515,0.231
52521,0.326
52522,0.293
52523,0.28
52524,0.224
52525,0.189
52531,0.315
52532,0.282
52533,0.269
52534,0.213
52535,0.178
52541,0.202
52542,0.169
52543,0.156
52544,0.1
52545,0.065
52551,0.161
52552,0.128
52553,0.115
52554,0.059
52555,0.024
53111,0.525
53112,0.492
53113,0.479
53114,0.423
53115,0.388
53121,0.483
53122,0.45
53123,0.437
53124,0.381
53125,0.346
53131,0.472
53132,0.439
53133,0.426
53134,0.37
53135,0.335
53141,0.359
53142,0.326
53143,0.313
53144,0.257
53145,0.222
53151,0.318
53152,0.285
53153,0.272
53154,0.216
53155,0.181
53211,0.504
53212,0.471
53213,0.458
53214,0.402
53215,0.367
53221,0.462
53222,0.429
53223,0.416
53224,0.36
53225,0.325
53231,0.451
53232,0.418
53233,0.405
53234,0.349
53235,0.314
53241,0.338
53242,0.305
53243,0.292
53244,0.236
53245,0.201
53251,0.297
53252,0.264
53253,0.251
53254,0.195
53255,0.16
53311,0.474
53312,0.441
53313,0.428
53314,0.372
53315,0.337
53321,0.432
53322,0.399
53323,0.386
53324,0.33
53325,0.295
53331,0.421
53332,0.388
53333,0.375
53334,0.319
53335,0.284
53341,0.308
53342,0.275
53343,0.262
53344,0.206
53345,0.171
53351,0.267
53352,0.234
53353,0.221
53354,0.165
53355,0.13
53411,0.425
53412,0.392
53413,0.379
53414,0.323
53415,0.288
53421,0.383
53422,0.35
53423,0.337
53424,0.281
53425,0.246
53431,0.372
53432,0.339
53433,0.326
53434,0.27
53435,0.235
53441,0.259
53442,0.226
53443,0.213
53444,0.157
53445,0.122
53451,0.218
53452,0.185
53453,0.172
53454,0.116
53455,0.081
53511,0.35
53512,0.317
53513,0.304
53514,0.248
53515,0.213
53521,0.308
53522,0.275
53523,0.262
53524,0.206
53525,0.171
53531,0.297
53532,0.264
53533,0.251
53534,0.195
53535,0.16
53541,0.184
53542,0.151
53543,0.138
53544,0.082
53545,0.047
53551,0.143
53552,0.11
53553,0.097
53554,0.041
53555,0.006
54111,0.497
54112,0.464
54113,0.451
54114,0.395
54115,0.36
54121,0.455
54122,0.422
54123,0.409
54124,0.353
54125,0.318
54131,0.444
54132,0.411
54133,0.398
54134,0.342
54135,0.307
54141,0.331
54142,0.298
54143,0.285
54144,0.229
54145,0.194
54151,0.29
54152,0.257
54153,0.244
54154,0.188
54155,0.153
54211,0.476
54212,0.443
54213,0.43
54214,0.374
54215,0.339
54221,0.434
54222,0.401
54223,0.388
54224,0.332
54225,0.297
54231,0.423
54232,0.39
54233,0.377
54234,0.321
54235,0.286
54241,0.31
54242,0.277
54243,0.264
54244,0.208
54245,0.173
54251,0.269
54252,0.236
54253,0.223
54254,0.167
54255,0.132
54311,0.446
54312,0.413
54313,0.4
54314,0.344
54315,0.309
54321,0.404
54322,0.371
54323,0.358
54324,0.302
54325,0.267
54331,0.393
54332,0.36
54333,0.347
54334,0.291
54335,0.256
54341,0.28
54342,0.247
54343,0.234
54344,0.178
54345,0.143
54351,0.239
54352,0.206
54353,0.193
54354,0.137
54355,0.102
54411,0.397
54412,0.364
54413,0.351
54414,0.295
54415,0.26
54421,0.355
54422,0.322
54423,0.309
54424,0.253
54425,0.218
54431,0.344
54432,0.311
54433,0.298
54434,0.242
54435,0.207
54441,0.231
54442,0.198
54443,0.185
54444,0.129
54445,0.094
54451,0.19
54452,0.157
54453,0.144
54454,0.088
54455,0.053
54511,0.322
54512,0.289
54513,0.276
54514,0.22
54515,0.185
54521,0.28
54522,0.247
54523,0.234
54524,0.178
54525,0.143
54531,0.269
54532,0.236
54533,0.223
54534,0.167
54535,0.132
54541,0.156
54542,0.123
54543,0.11
54544,0.054
54545,0.019
54551,0.115
54552,0.082
54553,0.069
54554,0.013
54555,-0.022
55111,0.453
55112,0.42
55113,0.407
55114,0.351
55115,0.316
55121,0.411
55122,0.378
55123,0.365
55124,0.309
55125,0.274
55131,0.4
55132,0.367
55133,0.354
55134,0.298
55135,0.263
55141,0.287
55142,0.254
55143,0.241
55144,0.185
55145,0.15
55151,0.246
55152,0.213
55153,0.2
55154,0.144
55155,0.109
55211,0.432
55212,0.399
55213,0.386
55214,0.33
55215,0.295
55221,0.39
55222,0.357
55223,0.344
55224,0.288
55225,0.253
55231,0.379
55232,0.346
55233,0.333
55234,0.277
55235,0.242
55241,0.266
55242,0.233
55243,0.22
55244,0.164
55245,0.129
55251,0.225
55252,0.192
55253,0.179
55254,0.123
55255,0.088
55311,0.402
55312,0.369
55313,0.356
55314,0.3
55315,0.265
55321,0.36
55322,0.327
55323,0.314
55324,0.258
55325,0.223
55331,0.349
55332,0.316
55333,0.303
55334,0.247
55335,0.212
55341,0.236
55342,0.203
55343,0.19
55344,0.134
55345,0.099
55351,0.195
55352,0.162
55353,0.149
55354,0.093
55355,0.058
55411,0.353
55412,0.32
55413,0.307
55414,0.251
55415,0.216
55421,0.311
55422,0.278
55423,0.265
55424,0.209
55425,0.174
55431,0.3
55432,0.267
55433,0.254
55434,0.198
55435,0.163
55441,0.187
55442,0.154
55443,0.141
55444,0.085
55445,0.05
55451,0.146
55452,0.113
55453,0.1
55454,0.044
55455,0.009
55511,0.278
55512,0.245
55513,0.232
55514,0.176
55515,0.141
55521,0.236
55522,0.203
55523,0.19
55524,0.134
55525,0.099
55531,0.225
55532,0.192
55533,0.179
55534,0.123
55535,0.088
55541,0.112
55542,0.079
55543,0.066
55544,0.01
55545,-0.025
55551,0.071
55552,0.038
55553,0.025
55554,-0.031
55555,-0.066
