code,value
14422,0.573
14423,0.56
14424,0.504
14425,0.469
14431,0.595
14432,0.562
14433,0.549
14434,0.493
14435,0.458
14441,0.482
14442,0.449
14443,0.436
14444,0.38
14445,0.345
14451,0.441
14452,0.408
14453,0.395
14454,0.339
14455,0.304
14511,0.573
14512,0.54
14513,0.527
14514,0.471
14515,0.436
14521,0.531
14522,0.498
14523,0.485
14524,0.429
14525,0.394
14531,0.52
14532,0.487
14533,0.474
14534,0.418
14535,0.383
14541,0.407
14542,0.374
14543,0.361
14544,0.305
14545,0.27
14551,0.366
14552,0.333
14553,0.32
14554,0.264
14555,0.229
15111,0.704
15112,0.671
15113,0.658
15114,0.602
15115,0.567
15121,0.662
15122,0.629
15123,0.616
15124,0.56
15125,0.525
15131,0.651
15132,0.618
15133,0.605
15134,0.549
15135,0.514
15141,0.538
15142,0.505
15143,0.492
15144,0.436
15145,0.401
15151,0.497
15152,0.464
15153,0.451
15154,0.395
15155,0.36
15211,0.683
15212,0.65
15213,0.637
15214,0.581
15215,0.546
15221,0.641
15222,0.608
15223,0.595
15224,0.539
15225,0.504
15231,0.63
15232,0.597
15233,0.584
15234,0.528
15235,0.493
15241,0.517
15242,0.484
15243,0.471
15244,0.415
15245,0.38
15251,0.476
15252,0.443
15253,0.43
15254,0.374
15255,0.339
15311,0.653
15312,0.62
15313,0.607
15314,0.551
15315,0.516
15321,0.611
15322,0.578
15323,0.565
15324,0.509
15325,0.474
15331,0.6
15332,0.567
15333,0.554
15334,0.498
15335,0.463
15341,0.487
15342,0.454
15343,0.441
15344,0.385
15345,0.35
15351,0.446
15352,0.413
15353,0.4
15354,0.344
15355,0.309
15411,0.604
15412,0.571
15413,0.558
15414,0.502
15415,0.467
15421,0.562
15422,0.529
15423,0.516
15424,0.46
15425,0.425
15431,0.551
15432,0.518
15433,0.505
15434,0.449
15435,0.414
15441,0.438
15442,0.405
15443,0.392
15444,0.336
15445,0.301
15451,0.397
15452,0.364
15453,0.351
15454,0.295
15455,0.26
15511,0.529
15512,0.496
15513,0.483
15514,0.427
15515,0.392
15521,0.487
15522,0.454
15523,0.441
15524,0.385
15525,0.35
15531,0.476
15532,0.443
15533,0.43
15534,0.374
15535,0.339
15541,0.363
15542,0.33
15543,0.317
15544,0.261
15545,0.226
15551,0.322
15552,0.289
15553,0.276
15554,0.22
15555,0.185
21111,0.858
21112,0.825
21113,0.812
21114,0.678
21115,0.643
21121,0.816
21122,0.783
21123,0.77
21124,0.636
21125,0.601
21131,0.805
21132,0.772
21133,0.759
21134,0.625
21135,0.59
21141,0.614
21142,0.581
21143,0.568
21144,0.512
21145,0.477
21151,0.573
21152,0.54
21153,0.527
21154,0.471
21155,0.436
21211,0.837
21212,0.804
21213,0.791
21214,0.657
21215,0.622
21221,0.795
21222,0.762
21223,0.749
21224,0.615
21225,0.58
21231,0.784
21232,0.751
21233,0.738
21234,0.604
21235,0.569
21241,0.593
21242,0.56
21243,0.547
21244,0.491
21245,0.456
21251,0.552
21252,0.519
21253,0.506
21254,0.45
21255,0.415
21311,0.807
21312,0.774
21313,0.761
21314,0.627
21315,0.592
21321,0.765
21322,0.732
21323,0.719
21324,0.585
21325,0.55
21331,0.754
21332,0.721
21333,0.708
21334,0.574
21335,0.539
21341,0.563
21342,0.53
21343,0.517
21344,0.461
21345,0.426
21351,0.522
21352,0.489
21353,0.476
21354,0.42
21355,0.385
21411,0.68
21412,0.647
21413,0.634
21414,0.578
21415,0.543
21421,0.638
21422,0.605
21423,0.592
21424,0.536
21425,0.501
21431,0.627
21432,0.594
21433,0.581
21434,0.525
21435,0.49
21441,0.514
21442,0.481
21443,0.468
21444,0.412
21445,0.377
21451,0.473
21452,0.44
21453,0.427
21454,0.371
21455,0.336
21511,0.605
21512,0.572
21513,0.559
21514,0.503
21515,0.468
21521,0.563
21522,0.53
21523,0.517
21524,0.461
21525,0.426
21531,0.552
21532,0.519
21533,0.506
21534,0.45
21535,0.415
21541,0.439
21542,0.406
21543,0.393
21544,0.337
21545,0.302
21551,0.398
21552,0.365
21553,0.352
21554,0.296
21555,0.261
22111,0.826
